tanggal,pm10,so2,co,o3,no2,max,critical,kategori
08/10/22,53,18,18,50,5,53,PM10,SEDANG
08/11/22,38,18,13,47,5,47,O3,BAIK
08/12/22,33,18,16,68,3,68,O3,SEDANG
08/13/22,66,17,18,65,5,66,PM10,SEDANG
08/14/22,57,17,20,60,8,60,O3,SEDANG
08/15/22,67,17,26,68,7,68,O3,SEDANG
08/16/22,43,17,18,62,6,62,O3,SEDANG
08/17/22,44,17,20,63,5,63,O3,SEDANG
08/18/22,44,18,17,69,4,69,O3,SEDANG
08/19/22,57,17,17,64,6,64,O3,SEDANG
08/20/22,59,17,18,58,6,59,PM10,SEDANG
08/21/22,56,17,17,63,6,63,O3,SEDANG
08/22/22,60,17,18,77,6,77,O3,SEDANG
08/23/22,52,17,15,75,4,75,O3,SEDANG
08/24/22,26,18,15,59,5,59,O3,SEDANG
08/25/22,34,18,14,67,5,67,O3,SEDANG
08/26/22,21,19,14,46,5,46,O3,BAIK
08/27/22,48,19,16,55,5,55,O3,SEDANG
08/28/22,37,18,15,54,4,54,O3,SEDANG
08/29/22,57,17,26,28,6,57,PM10,SEDANG
08/30/22,30,18,15,30,4,30,PM10,BAIK
08/31/22,37,18,18,40,5,40,O3,BAIK
09/01/22,44,22,7,128,8,128,O3,TIDAK SEHAT
09/02/22,51,21,6,110,8,110,O3,TIDAK SEHAT
09/03/22,57,30,9,92,12,92,O3,SEDANG
09/04/22,55,23,7,109,11,109,O3,TIDAK SEHAT
09/05/22,55,21,6,82,9,82,O3,SEDANG
09/06/22,50,21,10,63,9,74,PM25,SEDANG
09/07/22,51,20,8,95,7,95,O3,SEDANG
09/08/22,57,22,11,116,8,116,O3,TIDAK SEHAT
09/09/22,63,24,14,94,13,94,O3,SEDANG
09/10/22,65,21,12,88,12,88,O3,SEDANG
09/11/22,62,23,9,95,13,95,O3,SEDANG
09/12/22,61,24,10,110,16,110,O3,TIDAK SEHAT
09/13/22,91,22,15,60,5,91,PM10,SEDANG
09/14/22,77,22,22,36,8,77,PM10,SEDANG
09/15/22,72,23,27,56,8,72,PM10,SEDANG
09/16/22,54,22,14,54,5,54,PM10,SEDANG
09/17/22,57,23,17,49,5,57,PM10,SEDANG
09/18/22,52,22,12,52,5,52,PM10,SEDANG
09/19/22,60,23,11,51,6,60,PM10,SEDANG
09/20/22,66,23,13,48,7,66,PM10,SEDANG
09/21/22,65,23,12,57,5,65,PM10,SEDANG
09/22/22,74,23,15,72,6,74,PM10,SEDANG
09/23/22,56,21,11,61,5,61,O3,SEDANG
09/24/22,40,23,13,78,6,78,O3,SEDANG
09/25/22,61,23,11,73,3,73,O3,SEDANG
09/26/22,25,22,9,52,4,52,O3,SEDANG
09/27/22,70,22,15,59,4,70,PM10,SEDANG
09/28/22,38,22,9,43,3,43,O3,BAIK
09/29/22,62,21,25,28,4,62,PM10,SEDANG
09/30/22,50,22,10,28,4,50,PM10,BAIK
10/01/22,52,22,14,40,4,52,PM10,SEDANG
